name	path	ableton_version_full	file_size_mb	created	modified	num_tracks	ableton_version	creation_year	last_modified_year	track_types	device_types	plugins_vst	plugins_au
4tr raw accoustic mics jazkm	./__acoustic tracks/_acoustic jams sorted/source projects/4tr raw accoustic mics jazkm Project/4tr raw accoustic mics jazkm.als	11.0_436	0.01	2024-11-03 00:01:24	2022-12-14 19:32:45	5	11	2024	2022	AudioTrack, MasterTrack	Echo		
2tr fx acoustic--multi mic jamz	./__acoustic tracks/_acoustic jams sorted/source projects/2tr fx acoustic--multi mic jamz Project/2tr fx acoustic--multi mic jamz.als	11.0_436	0.02	2024-11-03 00:00:31	2022-03-11 20:36:07	4	11	2024	2022	AudioTrack, MasterTrack	Gate, PluginDevice	Guitar Rig 5	
blkuezy acoustic jam	./__acoustic tracks/_acoustic jams sorted/source projects/2tr blkuezy acoustic jam Project/blkuezy acoustic jam.als	11.0_436	0.04	2024-11-03 00:00:31	2022-12-12 20:19:45	3	11	2024	2022	AudioTrack, MasterTrack	StereoGain, Eq8, Compressor2, GlueCompressor, PluginDevice	iZotope Ozone 5	
_two track jams	./__acoustic tracks/_acoustic jams sorted/source projects/_two track jams/_two track jams.als	11.0_11300	0.24	2024-11-30 23:04:47	2024-11-30 23:04:47	31	11	2024	2024	GroupTrack, AudioTrack, MasterTrack	AudioEffectGroupDevice, PluginDevice, Delay, Gate, Eq8, Compressor2	Guitar Rig 5, GS-201	
2 track acoustic	./__acoustic tracks/_acoustic jams sorted/source projects/1tr raw acoustic--acousProject/2 track acoustic.als	11.0_436	0.01	2024-11-03 00:00:14	2022-03-06 00:51:33	2	11	2024	2022	AudioTrack, MasterTrack			
acoustic_pixel	./__acoustic tracks/_acoustic jams sorted/source projects/1tr raw acoustic--pixel Project/acoustic_pixel.als	11.0_436	0.02	2024-11-03 00:00:18	2022-03-06 00:51:33	2	11	2024	2022	AudioTrack, MasterTrack	Eq8, PluginDevice	Guitar Rig 5	
acoustic_pixel b	./__acoustic tracks/_acoustic jams sorted/source projects/1tr raw acoustic--pixel Project/acoustic_pixel b.als	11.0_436	0.01	2024-11-03 00:00:18	2022-03-06 00:51:33	2	11	2024	2022	AudioTrack, MasterTrack			
acoustic jam	./__acoustic tracks/_acoustic jams sorted/source projects/1tr acoustic jam Project/acoustic jam.als	11.0_436	0.0	2024-11-03 00:00:14	2022-12-04 23:05:02	2	11	2024	2022	AudioTrack, MasterTrack			
Acoustic jam 1track	./__acoustic tracks/_acoustic jams sorted/source projects/1tr raw acoustic--jam Project/Acoustic jam 1track.als	11.0_436	0.0	2024-11-03 00:00:17	2022-11-21 21:57:23	2	11	2024	2022	AudioTrack, MasterTrack			
drone acoustic hypnot	./__acoustic tracks/_acoustic jams sorted/2tr fingr drone acoustic hypnot Project/drone acoustic hypnot.als	11.0_11202	0.03	2024-11-03 00:00:08	2023-05-29 22:45:33	4	11	2024	2023	AudioTrack, ReturnTrack, MasterTrack	StereoGain, Eq8, PluginDevice	Phasis, iZotope Ozone 5	
drone acoustic hypnot +	./__acoustic tracks/_acoustic jams sorted/2tr fingr drone acoustic hypnot Project/drone acoustic hypnot +.als	11.0_11300	0.03	2024-11-30 23:14:04	2024-11-30 23:14:04	4	11	2024	2024	AudioTrack, ReturnTrack, MasterTrack	StereoGain, Eq8, PluginDevice	Phasis, iZotope Ozone 5	
acoustic jam psych demos	./__acoustic tracks/_acoustic jams sorted/1 tr acoustic jam psych demos Project/acoustic jam psych demos.als	11.0_11202	0.09	2024-11-03 00:00:06	2023-05-29 22:45:27	6	11	2024	2023	AudioTrack, MasterTrack	PluginDevice, Eq8	Guitar Rig 5	
acoustic jam psych	./__acoustic tracks/_acoustic jams sorted/1 tr acoustic jam psych demos Project/included projects/acoustic jam psych.als	11.0_11202	0.04	2024-11-03 00:00:06	2023-05-29 22:45:27	2	11	2024	2023	AudioTrack, MasterTrack	StereoGain, AudioEffectGroupDevice, Eq8, PluginDevice	Reaktor 6 FX, Guitar Rig 5	
single trackpyshch new roume accoustic blah	./__acoustic tracks/_acoustic jams sorted/1 tr acoustic jam psych demos Project/included projects/single trackpyshch new roume accoustic blahh Project/single trackpyshch new roume accoustic blah.als	11.0_11202	0.03	2024-11-03 00:00:06	2023-05-29 22:45:27	2	11	2024	2023	AudioTrack, MasterTrack	Eq8, PluginDevice	Reaktor 6 FX, Guitar Rig 5	
aciustic mac feedback	./__acoustic tracks/_acoustic jams sorted/1 tr acoustic jam psych demos Project/included projects/aciustic mac feedback Project/aciustic mac feedback.als	11.0_11202	0.05	2024-11-03 00:00:06	2023-05-29 22:45:28	3	11	2024	2023	AudioTrack, MasterTrack	Eq8, PluginDevice	Reaktor 6 FX, Guitar Rig 5	
long khooole	./__acoustic tracks/_acoustic jams sorted/1 tr acoustic jam psych demos Project/included projects/long khooole Project/long khooole.als	11.0_11202	0.05	2024-11-03 00:00:06	2023-05-29 22:45:28	2	11	2024	2023	AudioTrack, MasterTrack	PluginDevice, Eq8	Guitar Rig 5, Solid Bus Comp	
4tr fx acoustic--multi mic chorus jam 2	./__acoustic tracks/_acoustic jams sorted/4tr am-dm--em chorusy acoutelctrix  blues  am-dm-em 12bar  4tr fx acoustic--multi mic  jam 2 Project/4tr fx acoustic--multi mic chorus jam 2.als	11.0_11202	0.05	2024-11-03 00:00:09	2023-06-19 14:37:45	5	11	2024	2023	AudioTrack, MasterTrack	Eq8, PluginDevice, Gate	Guitar Rig 5, iZotope Ozone 5	
acoustic zoom 4 track am-em 3	./__acoustic tracks/_acoustic jams sorted/3tr+dr acoustic zoom 4 track am-em 3 Project/acoustic zoom 4 track am-em 3.als	11.0_11202	0.02	2024-11-03 00:00:09	2023-05-29 22:45:38	5	11	2024	2023	AudioTrack, MasterTrack	PluginDevice	iZotope Ozone 5	
acoustic lofi melt instrumental	./__acoustic tracks/acoustic lofi melt instrumental Project/acoustic lofi melt instrumental.als	11.0_11300	0.01	2024-11-30 14:49:09	2024-11-30 14:49:09	5	11	2024	2024	AudioTrack, MasterTrack			
doubler vox pixked live	./__acoustic tracks/doubler vox pixked live Project/doubler vox pixked live.als	11.0_11300	0.01	2024-11-30 14:38:00	2024-11-30 14:38:00	3	11	2024	2024	AudioTrack, ReturnTrack, MasterTrack	PhaserNew, Reverb, PluginDevice	iZotope Ozone 5	
rav porch raw classical jam wip	./__acoustic tracks/rav porch raw classical jam wip Project/rav porch raw classical jam wip.als	11.0_11300	0.0	2024-11-30 14:52:16	2024-11-30 14:52:16	2	11	2024	2024	AudioTrack, MasterTrack			
beachboy	./_beat incubator/__sampler/beachboy Project/beachboy.als	10.0_377	0.06	2024-11-03 00:03:03	2019-09-10 00:15:05	9	10	2024	2019	AudioTrack, GroupTrack, MidiTrack, ReturnTrack, MasterTrack	AudioEffectGroupDevice, MultiSampler, Eq8, BeatRepeat, Reverb, Delay, PluginDevice	iZotope Ozone 5	
trum kahled 10	./_beat incubator/__sampler/trum kahled  samples Project/trum kahled 10.als	10.0_377	3.4	2024-11-03 00:03:41	2022-11-20 02:33:56	14	10	2024	2022	GroupTrack, AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Reverb, GlueCompressor, Eq8, FilterEQ3, Redux, Looper, Compressor2, AutoPan, Chorus, Gate, AutoFilter, DrumGroupDevice, MultiSampler, Delay, PluginDevice	Ozone Pro	
combo samples	./_beat incubator/__sampler/combo samples Project/combo samples.als	10.0_377	0.76	2024-11-03 00:03:05	2020-11-05 22:46:46	20	10	2024	2020	AudioTrack, MidiTrack, GroupTrack, ReturnTrack, MasterTrack	AudioEffectGroupDevice, DrumGroupDevice, Compressor2, MidiArpeggiator, MultiSampler, Eq8, BeatRepeat, AutoFilter, PluginDevice, Delay	Toraverb, iZotope Ozone 5	
devin rev chop Beats	./_beat incubator/__sampler/devin da dude rev beat/devin rev chop Beats.als	10.0_370	0.09	2024-11-03 00:03:06	2019-04-09 19:11:45	6	10	2024	2019	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	MidiVelocity, BeatRepeat, DrumGroupDevice, Eq8, AutoFilter, Reverb		
oriental samples	./_beat incubator/__sampler/oreo samples Project/oriental samples.als	10.0_377	0.66	2024-11-03 00:03:15	2021-11-04 18:53:44	11	10	2024	2021	AudioTrack, GroupTrack, MidiTrack, ReturnTrack, MasterTrack	AudioEffectGroupDevice, Compressor2, MidiArpeggiator, DrumGroupDevice, PluginDevice, AutoFilter, Eq8, Delay	Maschine 2, Toraverb	
Pushin dope (Lou Reed vs Bill Cosby)	./_beat incubator/__sampler/Pushin dope (Lou Reed vs Bill Cosby) Project Edit/Pushin dope (Lou Reed vs Bill Cosby).als	10.0_377	0.16	2024-12-02 20:56:10	2024-12-02 20:55:00	7	10	2024	2024	AudioTrack, MidiTrack, MasterTrack			
Kinks Waterloo jam	./_beat incubator/__sampler/Kinks Waterloo jam [Dance] Project remix/Kinks Waterloo jam.als	10.0_370	0.34	2024-11-03 00:02:58	2018-07-26 23:00:42	7	10	2024	2018	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	AutoFilter, Compressor2, BeatRepeat, Eq8, DrumGroupDevice, Flanger, Reverb, AutoPan		
bowie bass	./_beat incubator/__sampler/bowie bass beet/bowie bass.als	10.0_377	0.35	2024-11-03 00:03:05	2019-09-08 01:35:43	9	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	GlueCompressor, Eq8, Compressor2, MidiArpeggiator, MidiRandom, MultiSampler, DrumGroupDevice, PluginDevice, Delay	Toraverb	
hipohopy	./_beat incubator/__sampler/bowie bass beet/aphexy/hipohopy.als	11.0_436	0.2	2024-11-03 00:03:05	2022-11-21 23:38:54	9	11	2024	2022	AudioTrack, MidiTrack, MasterTrack	StereoGain, AudioEffectGroupDevice, PluginDevice, MidiArpeggiator, Compressor2, AutoFilter, MidiChord, Echo, Tube, Chorus, Eq8	Reaktor 6 FX, Guitar Rig 5, Komplete Kontrol, Maschine 2	
beach boy	./_beat incubator/__sampler/beach boy Project/beach boy.als	10.0_377	0.1	2024-11-03 00:03:00	2020-01-31 17:36:21	4	10	2024	2020	AudioTrack, MidiTrack, MasterTrack	PluginDevice, Eq8, Compressor2	Maschine 2	
paul mc bass beat	./_beat incubator/__sampler/paul mc bass beat mac Project/paul mc bass beat.als	10.0_370	0.39	2024-11-03 00:03:16	2018-07-26 23:28:47	12	10	2024	2018	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	DrumGroupDevice, AutoFilter, Compressor2, Eq8, Reverb, StereoGain, Limiter, InstrumentGroupDevice, MidiChord, CrossDelay, GlueCompressor, PluginDevice	iZotope Ozone 5	
8 bit rmix bet	./_beat incubator/__sampler/8 bit rmix bet a10 Project/8 bit rmix bet.als	10.0_377	0.12	2024-11-03 00:02:54	2021-11-04 18:58:40	8	10	2024	2021	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Compressor2, Delay, BeatRepeat, PluginDevice, Reverb, AudioEffectGroupDevice	Maschine 2	
remix kg	./_beat incubator/__sampler/remix kING gIZ Project/remix kg.als	10.0_377	0.15	2024-11-03 00:03:16	2021-02-16 01:28:20	4	10	2024	2021	AudioTrack, MidiTrack, MasterTrack	StereoGain, PluginDevice, Eq8	Maschine 2	
room samles eastern	./_beat incubator/__sampler/ambient room samples/room samles eastern.als	10.0_377	0.04	2024-11-03 00:03:00	2019-09-10 00:13:02	8	10	2024	2019	AudioTrack, ReturnTrack, MasterTrack	AutoPan, Eq8, AutoFilter, BeatRepeat, AudioEffectGroupDevice, Resonator, Reverb, Delay		
elece comas you are  jam	./_beat incubator/__sampler/elece comas you are  jam Project/elece comas you are  jam.als	11.0_436	0.13	2024-11-03 00:03:07	2022-05-18 00:49:22	6	11	2024	2022	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, AutoFilter, Reverb, Echo	Guitar Rig 5, Maschine 2	
Dubstep Wobble 2	./_beat incubator/__sampler/Dubstep Wobble Project/Dubstep Wobble 2.als	10.0_377	0.12	2024-12-02 21:02:51	2024-12-02 21:01:48	13	10	2024	2024	AudioTrack, MidiTrack, MasterTrack	BeatRepeat, Eq8, DrumGroupDevice, StereoGain, AudioEffectGroupDevice		
Dubstep Wobble	./_beat incubator/__sampler/Dubstep Wobble Project/Dubstep Wobble.als	10.0_377	0.12	2024-12-02 21:00:51	2024-12-02 20:59:46	13	10	2024	2024	AudioTrack, MidiTrack, MasterTrack	BeatRepeat, Eq8, DrumGroupDevice, StereoGain, AudioEffectGroupDevice		
bass crunch beat	./_beat incubator/bassy beat w field rec/bass crunch beat.als	11.0_11300	0.08	2024-12-02 22:18:34	2024-12-02 22:18:25	7	11	2024	2024	AudioTrack, MidiTrack, MasterTrack	DrumGroupDevice, AudioEffectGroupDevice, MidiArpeggiator, MultiSampler, Compressor2, AutoFilter, BeatRepeat, Phaser, MxDeviceAudioEffect, PluginDevice	iZotope Ozone 5	
housey slowed	./_beat incubator/housey slowed Project/housey slowed.als	10.0_377	0.07	2024-11-03 00:04:20	2020-09-13 00:09:14	7	10	2024	2020	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	AutoFilter, BeatRepeat, AudioEffectGroupDevice, OriginalSimpler, InstrumentGroupDevice, Reverb, Delay, MxDeviceAudioEffect, PluginDevice	iZotope Ozone 5	
mustardy beet	./_beat incubator/mustardy beet Project/mustardy beet.als	10.0_377	0.23	2024-11-03 00:04:22	2019-09-21 00:13:05	10	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	MultiSampler, DrumGroupDevice, InstrumentGroupDevice, Eq8, Compressor2, StringStudio, Reverb, Delay, PluginDevice	iZotope Ozone 5	
glitchy synthy	./_beat incubator/glitchy synthy Project/glitchy synthy.als	11.0_11300	0.28	2024-11-30 23:32:20	2024-11-30 23:32:20	8	11	2024	2024	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Reverb, Delay, AudioEffectGroupDevice	Maschine 2, Komplete Kontrol	
burn it to the ground	./_beat incubator/burn it to the ground Project/burn it to the ground.als	11.0_11300	0.04	2024-12-02 22:28:54	2024-12-02 22:28:54	7	11	2024	2024	AudioTrack, ReturnTrack, MasterTrack	AutoFilter, Compressor2, Eq8, Reverb, Delay		
hop+sytth beat	./_beat incubator/hop+sytth beat Project/hop+sytth beat.als	10.0_370	0.15	2024-11-03 00:04:20	2019-08-14 23:45:30	7	10	2024	2019	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, CrossDelay	Komplete Kontrol, Maschine 2, Solid Bus Comp	
jazzzzz roads beatjam	./_beat incubator/jazzzzz roads beatjam wip Project/jazzzzz roads beatjam.als	10.0_370	0.05	2024-11-03 00:04:22	2019-08-03 22:37:01	6	10	2024	2019	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Reverb, CrossDelay	Komplete Kontrol, Solid Bus Comp	
piss drum bass loops	./_beat incubator/drum bass piss loops Project/piss drum bass loops.als	10.0_377	0.2	2024-11-30 23:24:19	2024-11-30 23:23:11	4	10	2024	2024	MidiTrack, MasterTrack	DrumGroupDevice, Eq8, StringStudio, Phaser, Collision, GlueCompressor, PluginDevice	iZotope Ozone 5	
haouse funk bass	./_beat incubator/haouse funk bass Project missing/haouse funk bass.als	10.0_370	0.26	2024-11-03 00:04:20	2019-04-09 20:35:21	8	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Compressor2, MidiArpeggiator, PluginDevice, DrumGroupDevice, Reverb, CrossDelay	Maschine 2	
LEX kit	./_beat incubator/trap drum beat/LEX kit.als	10.0_377	0.1	2024-11-03 00:04:23	2019-11-01 23:53:25	5	10	2024	2019	MidiTrack, ReturnTrack, MasterTrack	InstrumentGroupDevice		
immagrnt song	./_beat incubator/immagrnt song Project/immagrnt song.als	11.0_11300	0.02	2024-11-30 23:34:35	2024-11-30 23:34:20	4	11	2024	2024	AudioTrack, MidiTrack, MasterTrack	Echo, Overdrive, Flanger, Reverb, InstrumentGroupDevice		
Untitled5	./_beat incubator/drum n rippin bass loops/Untitled5.als	10.0_377	0.11	2024-11-03 00:04:20	2021-06-06 01:05:57	5	10	2024	2021	MidiTrack, AudioTrack, MasterTrack	PluginDevice, StereoGain, Eq8, Compressor2, Echo	Komplete Kontrol, Maschine 2	
mpc style stem	./_beat incubator/mpc style stem mac Project/mpc style stem.als	10.0_377	0.61	2024-11-03 00:04:22	2019-09-10 00:06:16	9	10	2024	2019	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	MidiArpeggiator, DrumGroupDevice, Compressor2, OriginalSimpler, Reverb, Delay, PluginDevice, AudioEffectGroupDevice	iZotope Ozone 5	
ffat Beat [loops] +	./_beat incubator/ffat Beat [loops]  Project/ffat Beat [loops] +.als	10.0_377	0.01	2024-11-03 00:04:20	2020-11-05 22:34:17	4	10	2024	2020	AudioTrack, MasterTrack	Echo		
future beat shy start	./_beat incubator/future beat shy start Project/future beat shy start.als	10.0_370	0.03	2024-11-03 00:04:20	2019-04-07 20:07:06	5	10	2024	2019	MidiTrack, ReturnTrack, MasterTrack	UltraAnalog, Eq8, InstrumentGroupDevice, Reverb, CrossDelay		
acostutic reverse rhythnb	./_beat incubator/acostutic reverse rhythnb Project/acostutic reverse rhythnb.als	11.0_11300	0.17	2024-11-03 00:03:49	2023-10-01 15:06:58	5	11	2024	2023	AudioTrack, MidiTrack, MasterTrack	Compressor2, PluginDevice, Eq8	Maschine 2	
drum track improv 10	./_beat incubator/_drum_solos/drum track improv Project/drum track improv 10.als	10.0_377	0.11	2024-12-02 22:31:36	2024-12-02 22:30:28	9	10	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, StereoGain, Reverb, Delay, BeatRepeat, AudioEffectGroupDevice	Maschine 2, Komplete Kontrol, Solid Bus Comp	
drum beat jam	./_beat incubator/_drum_solos/drum beat jam Project/drum beat jam.als	10.0_377	0.16	2024-11-03 00:03:42	2019-11-09 16:17:36	4	10	2024	2019	AudioTrack, ReturnTrack, MasterTrack	StereoGain, Reverb, Delay, AudioEffectGroupDevice		
_machine beats	./_beat incubator/_drum_solos/_machine beats Project/_machine beats.als	10.0_377	0.19	2024-11-03 00:03:42	2022-11-20 00:49:17	5	10	2024	2022	AudioTrack, MidiTrack, MasterTrack	PluginDevice, Eq8	Maschine 2, Solid Bus Comp, Ozone Pro	
jd jazzy wonk bet	./_beat incubator/_drum_solos/_machine beats Project/source projects/jd jazzy wonk bet Project/jd jazzy wonk bet.als	10.0_377	0.11	2024-11-03 00:03:42	2022-11-20 02:02:21	5	10	2024	2022	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, Reverb, Delay	Maschine 2, Solid Bus Comp, Ozone Pro	
arp beat single track	./_beat incubator/_drum_solos/_machine beats Project/source projects/arp beat Project/arp beat single track.als	10.0_377	0.1	2024-11-03 00:03:42	2020-02-22 02:04:20	5	10	2024	2020	MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, Reverb, Delay	Maschine 2, Solid Bus Comp	
lulby loops	./_beat incubator/lulby loops Project/lulby loops.als	11.0_436	0.28	2024-11-03 00:04:22	2022-11-12 20:19:42	7	11	2024	2022	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Reverb, Echo	Maschine 2, Komplete Kontrol	
saw beat	./_beat incubator/saw beat Project/saw beat.als	11.0_436	0.28	2024-11-03 00:04:22	2022-06-18 16:08:54	7	11	2024	2022	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	AudioEffectGroupDevice, Compressor2, BeatRepeat, DrumGroupDevice, Eq8, PluginDevice, Delay	Toraverb	
rippin analog bass trak	./_beat incubator/rippin analog bass trak Project/rippin analog bass trak.als	10.0_377	0.1	2024-11-03 00:04:22	2021-07-16 01:49:50	4	10	2024	2021	AudioTrack, MidiTrack, MasterTrack	StereoGain, Eq8, PluginDevice, Echo	Komplete Kontrol, Maschine 2	
dong on titties trapp	./_beat incubator/generic trapppppe Project/dong on titties trapp.als	10.0_377	0.36	2024-11-03 00:04:20	2020-11-05 22:36:46	17	10	2024	2020	GroupTrack, MidiTrack, AudioTrack, ReturnTrack, MasterTrack	Eq8, MidiPitcher, Operator, Saturator, Compressor2, InstrumentGroupDevice, DrumGroupDevice, Delay, Reverb, AutoPan, UltraAnalog, OriginalSimpler, MultiSampler, Limiter		
synth beat fidyy mixdown	./_beat incubator/synth beat Project/synth beat fidyy mixdown.als	11.0_436	4.38	2024-11-03 00:04:23	2022-03-11 14:19:44	7	11	2024	2022	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	InstrumentGroupDevice, Compressor2, Eq8, Echo, PluginDevice, Reverb, Delay, AudioEffectGroupDevice	Komplete Kontrol	
synth beat	./_beat incubator/synth beat Project/synth beat.als	10.0_377	0.13	2024-11-03 00:04:23	2019-09-07 18:01:26	7	10	2024	2019	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	InstrumentGroupDevice, Compressor2, Eq8, DrumGroupDevice, StereoGain, Reverb, Delay, AudioEffectGroupDevice		
upbeat loungehy 20	./_beat incubator/upbeat loungehy Project/upbeat loungehy 20.als	10.0_377	0.14	2024-11-03 00:04:23	2020-09-13 00:02:47	9	10	2024	2020	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2, Eq8, Reverb, Delay	Komplete Kontrol, Guitar Rig 5, Maschine 2, Solid Bus Comp	
acoustrunkv2	./_beat incubator/boom bap Project/acoustrunkv2.als	10.0_377	0.27	2024-12-02 19:45:27	2024-12-02 19:44:22	12	10	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	StereoGain, AudioEffectGroupDevice, Eq8, PluginDevice, Compressor2	Reaktor 6 FX, Guitar Rig 5, Komplete Kontrol, Maschine 2, iZotope Ozone 5	
boom bap +	./_beat incubator/boom bap Project/boom bap +.als	10.0_377	0.11	2024-11-03 00:04:19	2020-11-10 20:39:04	6	10	2024	2020	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Compressor2	Maschine 2	
sword battle beat	./_beat incubator/sword battle beat Project/sword battle beat.als	10.0_370	0.08	2024-11-03 00:04:22	2019-04-27 18:00:56	7	10	2024	2019	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, InstrumentGroupDevice, Reverb, CrossDelay	Maschine 2, Guitar Rig 5	
hiphoppy dub	./_beat incubator/hiphoppy dub Project/hiphoppy dub.als	10.0_370	0.01	2024-11-03 00:04:20	2019-04-09 20:28:18	5	10	2024	2019	AudioTrack, MasterTrack	AutoFilter		
dubsteppy	./_beat incubator/dubsteppy Project/dubsteppy.als	10.0_370	0.19	2024-11-03 00:04:20	2019-07-08 00:23:12	8	10	2024	2019	MidiTrack, ReturnTrack, MasterTrack	PluginDevice, Eq8, InstrumentGroupDevice, Reverb, CrossDelay	Maschine 2, Driver, Solid Bus Comp	
brady-tayjake-samples	./_beat incubator/z_brady-tayjake-samples Project/brady-tayjake-samples.als	10.0_377	0.05	2024-11-30 22:32:14	2024-11-30 22:31:07	7	10	2024	2024	AudioTrack, ReturnTrack, MasterTrack	Tube, AutoPan, Eq8, AudioEffectGroupDevice, Reverb, Delay		
all mixed vegitables 23	./__dj mixes_/all mixed vegitables 23.als	11.0_11300	0.33	2024-11-03 00:01:38	2023-12-11 23:06:30	27	11	2024	2023	GroupTrack, AudioTrack, ReturnTrack, MasterTrack	PluginDevice, FilterEQ3, AutoFilter, Eq8, AudioEffectGroupDevice, Reverb, Delay, GlueCompressor, SpectrumAnalyzer, Phaser	Solid Bus Comp, iZotope Ozone 5	
all mixed vegitables	./__dj mixes_/all mixed vegitables.als	10.0_377	0.4	2024-11-03 00:01:38	2022-11-20 01:01:39	28	10	2024	2022	GroupTrack, AudioTrack, ReturnTrack, MasterTrack	FilterEQ3, AutoFilter, PluginDevice, Eq8, AudioEffectGroupDevice, Reverb, Delay, GlueCompressor, SpectrumAnalyzer, Phaser	iZotope Ozone 5, Ozone Pro, Solid Bus Comp	
chill kinda	./_chillwave 2011/chillwavey  [loops]Project/chill kinda.als	10.0_377	0.19	2024-11-03 00:04:24	2021-12-03 23:54:15	9	10	2024	2021	AudioTrack, MidiTrack, MasterTrack	AutoFilter, DrumGroupDevice, Eq8		
chillwavey	./____lightwave/lli wavey Project/chillwavey.als	10.0_377	0.33	2024-11-02 23:59:56	2021-06-13 14:00:25	10	10	2024	2021	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Compressor2, AutoPan, Reverb, StereoGain, PluginDevice, Eq8, MidiArpeggiator, DrumGroupDevice, Delay	Maschine 2	
Chillin Tough [chillwave][ loopset	./_chillwave 2011/Chillin Tough [chillwave][ loopset Project/Chillin Tough [chillwave][ loopset.als	10.0_370	0.21	2024-11-03 00:04:24	2019-04-07 22:43:56	9	10	2024	2019	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	DrumGroupDevice, Eq8, MidiChord, InstrumentGroupDevice, Compressor2, MidiArpeggiator		
ohmy80s	./_chillwave 2011/ohmy deadmau5syy 80s [track] Project/ohmy80s.als	10.0_377	0.26	2024-11-03 00:04:26	2019-12-07 23:23:37	33	10	2024	2019	GroupTrack, MidiTrack, AudioTrack, ReturnTrack, MasterTrack	OriginalSimpler, Reverb, Compressor2, Eq8, Chorus, Delay, PluginDevice, AutoFilter, StereoGain, GlueCompressor, Operator, AutoPan, MultibandDynamics, InstrumentGroupDevice, Overdrive, Flanger, AudioEffectGroupDevice	TAL-Chorus-LX, iZotope Ozone 5	
synthy	./_chillwave 2011/synthy Project/synthy.als	11.0_11300	0.16	2024-11-30 23:44:29	2024-11-30 23:42:56	8	11	2024	2024	AudioTrack, MidiTrack, ReturnTrack, MasterTrack	Compressor2, MidiVelocity, BeatRepeat, DrumGroupDevice, Eq8, AutoFilter, Reverb		
Chill HAy zee [Live] [loopset]	./_chillwave 2011/hittn thbog Chill hayze/Chill HAy zee [Live] [loopset].als	11.0_436	0.59	2024-11-03 00:04:24	2022-03-03 00:22:41	19	11	2024	2022	MidiTrack, GroupTrack, AudioTrack, ReturnTrack, MasterTrack	DrumGroupDevice, Eq8, AutoFilter, BeatRepeat, InstrumentGroupDevice, StereoGain, MultiSampler, AudioEffectGroupDevice, Reverb, Delay, AutoPan		
mello loops	./_chillwave 2011/chillwavvey  mello loops beat start/mello loops.als	10.0_377	0.07	2024-11-03 00:04:24	2019-11-03 15:48:56	8	10	2024	2019	GroupTrack, MidiTrack, AudioTrack, ReturnTrack, MasterTrack	AutoFilter, InstrumentGroupDevice, Compressor2, Eq8, Limiter		
mello loops upmix	./_chillwave 2011/chillwavvey  mello loops beat start/mello loops upmix.als	10.0_377	0.23	2024-11-03 00:04:24	2022-11-20 02:09:17	8	10	2024	2022	MidiTrack, AudioTrack, ReturnTrack, MasterTrack	InstrumentGroupDevice, AutoFilter, Eq8, Compressor2, PluginDevice	Maschine 2, Toraverb, Ozone Pro	
Dj Set Original + Songs	./_remix edits cuts/Black Panther feat Flaming Lips Zomby [Slowed] Project remix/Dj Set Original + Songs.als	10.0_370	0.49	2024-11-03 00:04:26	2018-07-26 23:12:44	18	10	2024	2018	AudioTrack, MidiTrack, MasterTrack	AutoFilter, AudioEffectGroupDevice, DrumGroupDevice, Eq8, Compressor2, BeatRepeat, Flanger, Reverb		
